City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
167,hithadhoo,-0.6,73.0833,27.18,82,62,4.52,MV,1699543671
168,diawara,15.022,-12.5437,36.83,12,72,2.09,SN,1699543671
169,saldanha,-33.0117,17.9442,25.03,71,0,9.45,ZA,1699543371
170,bundi,25.4417,75.6417,27.1,30,36,1.41,IN,1699543672
171,zelenoborskiy,66.845,32.3622,-4.94,90,99,1.12,RU,1699543672
172,tadine,-21.55,167.8833,21.02,64,94,6.92,NC,1699543229
173,narrabri,-30.3167,149.7833,17.51,82,100,0.45,AU,1699543672
174,kaleke mandi,31.9772,73.6026,23.75,37,9,2.6,PK,1699543673
175,st. john's,47.5649,-52.7093,6.82,98,100,6.17,CA,1699543367
176,ratne,51.6683,24.5303,7.08,69,14,3.4,UA,1699543673
177,palmer,42.1584,-72.3287,4.02,80,100,2.06,US,1699543673
178,hovd,48.0056,91.6419,-3.33,72,66,0.96,MN,1699543674
179,dabola,10.75,-11.1167,32.79,30,89,1.35,GN,1699543674
180,hilo,19.7297,-155.09,23.12,85,75,2.57,US,1699543154
181,sal rei,16.1833,-22.9167,28.11,54,75,8.75,CV,1699543674
182,bryne,58.7354,5.6477,8.65,84,100,4.63,NO,1699543674
183,fortuna,40.5982,-124.1573,5.75,97,0,3.09,US,1699543361
184,santa elena de uairen,4.6167,-61.1333,27.93,54,12,2.16,VE,1699543675
185,ad-damazin,11.7891,34.3592,30.42,49,72,1.64,SD,1699543675
186,usogorsk,63.4106,48.6872,0.37,96,100,3.39,RU,1699543675
187,el tigre,8.8875,-64.2454,30.34,56,11,5.49,VE,1699543676
188,flying fish cove,-10.4217,105.6791,25.82,88,75,3.6,CX,1699543676
189,selkirk,50.1436,-96.8845,-0.47,95,100,4.02,CA,1699543380
190,cascais,38.6979,-9.4215,18.9,63,20,9.83,PT,1699543446
191,esikhaleni,-28.871,31.8996,20.64,74,77,3.14,ZA,1699543676
192,atafu village,-8.5421,-172.5159,28.55,69,100,2.99,TK,1699543225
193,beterou,9.1992,2.2586,36.27,29,53,0.85,BJ,1699543677
194,acapulco de juarez,16.8634,-99.8901,28.08,74,91,1.13,MX,1699543281
195,farsan,32.2569,50.561,10.02,35,0,2.48,IR,1699543677
196,rio grande,-32.035,-52.0986,27.06,57,18,3.24,BR,1699543113
197,puerto lempira,15.2667,-83.7667,28.08,78,40,3.09,HN,1699543415
198,yaren,-0.5472,166.916,29.12,78,100,7.62,NR,1699543416
199,tralee,52.2704,-9.7026,10.14,76,75,8.75,IE,1699543678
200,charters towers,-20.1,146.2667,20.16,84,8,4.34,AU,1699543678
201,kinmparana,12.8402,-4.9199,37.85,14,99,2.63,ML,1699543679
202,nuevo laredo,27.4763,-99.5164,24.15,94,100,0.0,MX,1699543272
203,utrik,11.2278,169.8474,27.83,78,99,9.98,MH,1699543258
204,novyy turtkul',41.55,61.0167,9.95,40,98,3.14,UZ,1699543679
205,bubaque,11.2833,-15.8333,28.33,46,100,0.81,GW,1699543251
206,tshabong,-26.05,22.45,34.22,9,0,4.81,BW,1699543679
207,sarina,-21.4333,149.2167,20.9,1,2,2.03,AU,1699543299
208,beni,0.5,29.4667,21.77,79,82,1.01,CD,1699543680
209,lebu,-37.6167,-73.65,13.48,69,0,8.49,CL,1699543006
210,gadzhiyevo,69.2551,33.3362,-7.52,93,90,3.97,RU,1699543305
211,ta`u,-14.2336,-169.5144,27.15,80,100,4.13,AS,1699543680
212,kisangani,0.5167,25.2,24.88,82,100,0.87,CD,1699543681
213,alma,48.5501,-71.6491,-3.28,75,100,3.47,CA,1699543398
214,denia,38.8408,0.1057,23.19,43,66,4.02,ES,1699543681
215,ketchikan,55.3422,-131.6461,7.41,93,100,3.6,US,1699543681
